24. June 2018 | 09:46:40 | - CapsLock = 1
24. June 2018 | 09:46:40 | - 3DSpeed = 0
24. June 2018 | 09:46:40 | - MaxSpeed = 230
24. June 2018 | 09:46:40 | - AdminImmunity = 1
24. June 2018 | 09:46:40 | - Advertisement = 1
24. June 2018 | 09:46:40 | - FreezeUpdate = 0
24. June 2018 | 09:46:40 | - SpawnTime = 10
24. June 2018 | 09:46:40 | - CheckpointTeleport = 1
24. June 2018 | 09:46:40 | - Airbreak = 1
24. June 2018 | 09:46:40 | - TankMode = 1
24. June 2018 | 09:46:40 | - WarnPlayers = 0
24. June 2018 | 09:46:40 | - SingleplayerCheats = 1
24. June 2018 | 09:46:40 | - MinFPS = 2
24. June 2018 | 09:46:40 | - DisableBadWeapons = 1
24. June 2018 | 09:46:40 | - CBug = 16
24. June 2018 | 09:46:40 | - AntiBugKill = 1
24. June 2018 | 09:46:40 | - NoReload = 20
24. June 2018 | 09:46:40 | - NoReloadForSawnOff = 4
24. June 2018 | 09:46:40 | - ActiveGMC = 2
24. June 2018 | 09:46:40 | - GMCBan = 0
24. June 2018 | 09:46:40 | - ServerSideHealth = 1
24. June 2018 | 09:46:40 | - CheckVMPos = 0
24. June 2018 | 09:46:40 | - QuickTurn = 1
24. June 2018 | 09:46:40 | 1 IP-bans have been loaded.
24. June 2018 | 09:46:40 | 0 temporary bans have been loaded.
24. June 2018 | 09:46:40 | 1 whitelist entries have been loaded.
24. June 2018 | 09:46:40 | 4 blacklist entries have been loaded.
24. June 2018 | 09:46:40 | 41 bad words have been loaded.
24. June 2018 | 09:46:40 | 4 forbidden weapons have been loaded.
24. June 2018 | 09:46:40 | JunkBuster has been configurated.
24. June 2018 | 09:46:40 | JunkBuster has successfully been loaded.
24. June 2018 | 09:49:57 | Current JunkBuster configuration:
24. June 2018 | 09:49:57 | - WeaponHack = 1
24. June 2018 | 09:49:57 | - MoneyHack = 1
24. June 2018 | 09:49:57 | - Jetpack = 1
24. June 2018 | 09:49:57 | - HealthHack = 1
24. June 2018 | 09:49:57 | - ArmourHack = 1
24. June 2018 | 09:49:57 | - DriveBy = 2
24. June 2018 | 09:49:57 | - Spam = 0
24. June 2018 | 09:49:57 | - CommandSpam = 0
24. June 2018 | 09:49:57 | - BadWords = 0
24. June 2018 | 09:49:57 | - CarJackHack = 1
24. June 2018 | 09:49:57 | - TeleportHack = 1
24. June 2018 | 09:49:57 | - MaxPing = 1000
24. June 2018 | 09:49:57 | - SpectateHack = 0
24. June 2018 | 09:49:57 | - Blacklist = 1
24. June 2018 | 09:49:57 | - IpBans = 1
24. June 2018 | 09:49:57 | - TempBans = 1
24. June 2018 | 09:49:57 | - SpawnKill = 3
24. June 2018 | 09:49:57 | - CapsLock = 1
24. June 2018 | 09:49:57 | - 3DSpeed = 0
24. June 2018 | 09:49:57 | - MaxSpeed = 230
24. June 2018 | 09:49:57 | - AdminImmunity = 1
24. June 2018 | 09:49:57 | - Advertisement = 1
24. June 2018 | 09:49:57 | - FreezeUpdate = 0
24. June 2018 | 09:49:57 | - SpawnTime = 10
24. June 2018 | 09:49:57 | - CheckpointTeleport = 1
24. June 2018 | 09:49:57 | - Airbreak = 1
24. June 2018 | 09:49:57 | - TankMode = 1
24. June 2018 | 09:49:57 | - WarnPlayers = 0
24. June 2018 | 09:49:57 | - SingleplayerCheats = 1
24. June 2018 | 09:49:57 | - MinFPS = 2
24. June 2018 | 09:49:57 | - DisableBadWeapons = 1
24. June 2018 | 09:49:57 | - CBug = 16
24. June 2018 | 09:49:57 | - AntiBugKill = 1
24. June 2018 | 09:49:57 | - NoReload = 20
24. June 2018 | 09:49:57 | - NoReloadForSawnOff = 4
24. June 2018 | 09:49:57 | - ActiveGMC = 2
24. June 2018 | 09:49:57 | - GMCBan = 0
24. June 2018 | 09:49:57 | - ServerSideHealth = 1
24. June 2018 | 09:49:57 | - CheckVMPos = 0
24. June 2018 | 09:49:57 | - QuickTurn = 1
24. June 2018 | 09:49:57 | 1 IP-bans have been loaded.
24. June 2018 | 09:49:57 | 0 temporary bans have been loaded.
24. June 2018 | 09:49:57 | 1 whitelist entries have been loaded.
24. June 2018 | 09:49:57 | 4 blacklist entries have been loaded.
24. June 2018 | 09:49:57 | 41 bad words have been loaded.
24. June 2018 | 09:49:57 | 4 forbidden weapons have been loaded.
24. June 2018 | 09:49:57 | JunkBuster has been configurated.
24. June 2018 | 09:49:57 | JunkBuster has successfully been loaded.
24. June 2018 | 09:58:40 | Current JunkBuster configuration:
24. June 2018 | 09:58:40 | - WeaponHack = 1
24. June 2018 | 09:58:40 | - MoneyHack = 1
24. June 2018 | 09:58:40 | - Jetpack = 1
24. June 2018 | 09:58:40 | - HealthHack = 1
24. June 2018 | 09:58:40 | - ArmourHack = 1
24. June 2018 | 09:58:40 | - DriveBy = 2
24. June 2018 | 09:58:40 | - Spam = 0
24. June 2018 | 09:58:40 | - CommandSpam = 0
24. June 2018 | 09:58:40 | - BadWords = 0
24. June 2018 | 09:58:40 | - CarJackHack = 1
24. June 2018 | 09:58:40 | - TeleportHack = 1
24. June 2018 | 09:58:40 | - MaxPing = 1000
24. June 2018 | 09:58:40 | - SpectateHack = 0
24. June 2018 | 09:58:40 | - Blacklist = 1
24. June 2018 | 09:58:40 | - IpBans = 1
24. June 2018 | 09:58:40 | - TempBans = 1
24. June 2018 | 09:58:40 | - SpawnKill = 3
24. June 2018 | 09:58:40 | - CapsLock = 1
24. June 2018 | 09:58:40 | - 3DSpeed = 0
24. June 2018 | 09:58:40 | - MaxSpeed = 230
24. June 2018 | 09:58:40 | - AdminImmunity = 1
24. June 2018 | 09:58:40 | - Advertisement = 1
24. June 2018 | 09:58:40 | - FreezeUpdate = 0
24. June 2018 | 09:58:40 | - SpawnTime = 10
24. June 2018 | 09:58:40 | - CheckpointTeleport = 1
24. June 2018 | 09:58:40 | - Airbreak = 1
24. June 2018 | 09:58:40 | - TankMode = 1
